Name,Price,Publisher,Date of Release,Category,Age Rating,Actual_size,Date
Red Hands - 2-Player,1.0,PEAKSEL D.O.O. NIŠ,2015-02-13,Action & adventure,3.0,45.66,Friday
Dress Up: Elsa,1.0,game4fun,2014-12-22,Family & kids,3.0,39.69,Monday
Eternium,1.0,Making Fun Inc.,2015-11-02,Action & adventure,7.0,883.56,Monday
Soccer Stars 2019,1.0,Pocket Craft King Games LLC,2019-05-31,Action & adventure,3.0,24.93,Friday
Police Chase: Hot Pu,1.0,Jaingo Games,2019-07-29,Racing & flying,7.0,713.77,Monday
Avengers.io,1.0,Azur Interactive Free Epic Games Ltd.,2019-09-10,Action & adventure,3.0,24.64,Tuesday
2048 !,1.0,ketchappstudio,2016-12-21,Puzzle & trivia,3.0,105.7,Wednesday
Plants vs Knights,1.0,Epic Free Legendary Games,2019-10-28,Action & adventure,7.0,52.71,Monday
Head Ball European C,1.0,CBGAME,2021-09-15,Action & adventure,3.0,27.11,Wednesday
PickCrafter - Crafti,1.0,Super Epic Rockstar Games,2020-04-08,Action & adventure,3.0,20.02,Wednesday
Lion Family Sim Onli,1.0,Area 730,2017-12-28,Action & adventure,7.0,303.66,Thursday
Real Fighter Air Sim,1.0,AbsoLogix Technologies Limited,2014-02-18,Simulation,7.0,24.32,Tuesday
Cat VS Dog,1.0,minigame365,2012-11-19,Action & adventure,3.0,1.8,Monday
Block Wars Survival ,1.0,"Aeria Canada Studio, Inc.",2018-02-23,Action & adventure,12.0,277.54,Friday
Emilys New Beginning,1.0,appmedia studio,2019-07-15,Action & adventure,3.0,18.17,Monday
霸主传奇：VIP免费送，职业随时换,1.0,Ao Lan Technology Co Ltd,2021-08-03,Role playing,12.0,197.39,Tuesday
Extreme Hill Mining ,1.0,AppStream Studios,2015-08-28,Simulation,3.0,48.29,Friday
Desert Commando Adve,1.0,Best App Entertainment,2016-04-25,Action & adventure,18.0,123.97,Monday
Belle Party,1.0,game4fun,2016-03-24,Family & kids,3.0,34.14,Thursday
World of Tennis: Roa,1.0,Helium9 Games,2018-05-16,Action & adventure,3.0,424.32,Wednesday
Real Car Racing,1.0,LucknOk Game,2021-03-04,Action & adventure,3.0,141.69,Thursday
Pet Run - Talking Ha,1.0,Panda Game Entertainment Inc.,2019-05-06,Action & adventure,3.0,21.86,Monday
Magic Nail Salon,1.0,IO Games,2017-12-11,Family & kids,3.0,53.41,Monday
Warhammer: Chaos & C,1.0,Tilting Point,2019-08-26,Role playing,12.0,318.36,Monday
Exploration Lite Cra,1.0,Aladin Interactive Games,2021-03-03,Action & adventure,3.0,19.98,Wednesday
Minesweeper Original,1.0,Royal Puzzle Saga Games,2019-05-10,Card & board,3.0,20.06,Friday
Space Shooter - Alie,1.0,Fun Craft FPS Games Ltd.,2019-08-05,Action & adventure,3.0,27.89,Monday
Spider Solitaire 202,1.0,Piano Music Studio,2018-01-16,Card & board,3.0,33.69,Tuesday
Krrish 3 The Game,1.0,Gameshastra Solutions Pvt. Ltd.,2013-10-17,Action & adventure,12.0,136.95,Thursday
Tic Tac Toe Pro,1.0,Andreas Wilburger,2012-12-03,Strategy,3.0,259.31,Monday
Now you are in Orbit,1.0,Wilhelmsen Studios,2013-12-10,Simulation,3.0,23.79,Tuesday
Stick War Legacy,1.0,App Family Kids Games Free,2019-05-08,Action & adventure,7.0,24.87,Wednesday
Play Typing Practice,1.0,GreenApple,2020-07-29,Classics,3.0,59.58,Wednesday
Wind Rider!,1.0,Tapps Top Game Free LLC,2019-05-30,Action & adventure,3.0,211.36,Thursday
Heroes of Battlegrou,1.0,StormBringer Studios,2020-12-14,Action & adventure,12.0,223.93,Monday
Offroad Truck Simula,1.0,Silent Monk Games,2017-02-15,Simulation,3.0,182.67,Wednesday
Formula Racing Showd,1.0,Hardians,2015-07-29,Racing & flying,3.0,42.9,Wednesday
Color Switch Fun,1.0,Police Scanner Radio 5-0,2016-02-22,Platformer,3.0,10.59,Monday
Hidden Express,1.0,Making Fun Inc.,2017-10-02,Puzzle & trivia,3.0,567.44,Monday
Racing Fever : Moto,1.0,GuneJang,2021-09-14,Racing & flying,3.0,187.37,Tuesday
Mystery Hotel - Hidd,1.0,CrispApp,2020-11-13,Classics,7.0,328.95,Friday
Mike V: Skateboard P,1.0,Maple Media LLC.,2014-04-15,Sports,3.0,351.36,Tuesday
Word Unscramble for ,1.0,John Martello,2018-01-30,Word,3.0,2.69,Tuesday
Football World Leagu,1.0,T-Bull,2014-05-10,Sports,3.0,63.8,Saturday
FINAL FANTASY XV POC,1.0,SQUARE ENIX CO. LTD.,2018-06-06,Role playing,12.0,1760.0,Wednesday
8 Ball Pool Snooker ,1.0,Supersonic Stickman Stars Games,2020-06-22,Action & adventure,3.0,24.08,Monday
Crazy Traffic,1.0,GameDev Inc,2021-03-04,Racing & flying,3.0,910.26,Thursday
Bow Shooter - Master,1.0,"Simulators Live, LLC",2021-05-26,Other,3.0,553.61,Wednesday
Mahjong Journey: A T,1.0,G5 Entertainment AB,2017-10-17,Card & board,3.0,296.11,Tuesday
Idle Digging Tycoon,1.0,Jeuxjeuxjeux Games,2021-06-23,Family & kids,3.0,186.99,Wednesday
Car Parking Challeng,1.0,594 Home,2020-01-20,Classics,3.0,29.64,Monday
Like A Dino,1.0,JK Game Studios,2021-06-04,Music,3.0,109.44,Friday
Bomber Bomberman!,1.0,Blast Crush Games Scapes Mania,2019-05-17,Action & adventure,3.0,31.95,Friday
Little Pony Runner,1.0,Fun Craft FPS Games Ltd.,2019-08-02,Action & adventure,3.0,30.22,Friday
Slalom Ski Race,1.0,Pocket Craft King Games LLC,2019-05-27,Racing & flying,3.0,22.08,Monday
Unicorn Coloring Boo,1.0,Videopix,2019-10-10,Action & adventure,3.0,177.87,Thursday
Simple Mahjong,1.0,Random Salad Games LLC,2015-03-19,Puzzle & trivia,3.0,293.07,Thursday
Death Drive: Racing ,1.0,PlayBuff Studios Private Limited,2013-11-25,Racing & flying,12.0,332.19,Monday
Piano Practise,1.0,JooPo,2013-06-27,Music,3.0,1.46,Thursday
Mind Games Free,1.0,Mindware Consulting Inc,2014-02-05,Puzzle & trivia,3.0,41.35,Wednesday
Ludo Classic game : ,1.0,Xing Ming Studio,2019-06-10,Card & board,3.0,42.75,Monday
Super AquaPark.io,1.0,chenyim,2019-08-21,Strategy,3.0,5.75,Wednesday
Air Hockey - Ice to ,1.0,Wonderful Games,2015-02-13,Simulation,3.0,91.36,Friday
Bridge Builder Const,1.0,AppStream Studios,2015-07-24,Simulation,3.0,29.96,Friday
Teen Love Story - My,1.0,Unit M Limited,2016-12-26,Role playing,3.0,139.29,Monday
Superstar Ariana Dre,1.0,Friyi,2016-04-14,Simulation,3.0,32.29,Thursday
Chess Royale: Board ,1.0,Good Job Apps,2021-06-08,Card & board,3.0,30.54,Tuesday
Piano Music Go 2019,1.0,eday io,2017-04-11,Music,3.0,85.27,Tuesday
Lupy Games,1.0,Lupy Games,2021-09-30,Action & adventure,7.0,186.89,Thursday
Horse Racing Manager,1.0,Tilting Point,2019-08-06,Racing & flying,3.0,340.57,Tuesday
White Tiger Family S,1.0,Area 730,2018-06-14,Action & adventure,7.0,329.84,Thursday
Stickman Fight Shado,1.0,Popular Peak Games,2019-05-07,Action & adventure,3.0,31.66,Tuesday
Dino Hunter Fight,1.0,Popular Peak Games,2019-05-07,Action & adventure,7.0,33.36,Tuesday
Horse Cart: Story Of,1.0,Mind Arts Games,2019-05-07,Simulation,3.0,295.31,Tuesday
Boat Racing Nitro 3D,1.0,Aladin Interactive Games,2021-03-03,Action & adventure,3.0,26.69,Wednesday
Mahjong Deluxe Free,1.0,"EnsenaSoft, S.A. de C.V.",2012-06-14,Card & board,3.0,602.07,Thursday
Brawl Battle Stars,1.0,Games Tech Network Limited,2021-05-13,Action & adventure,7.0,18.93,Thursday
Highway Rider Extrem,1.0,ShowBoom Technology Co. Ltd,2018-12-14,Role playing,3.0,16.3,Friday
Kids Games Learning ,1.0,GREYSPRINGS SOFTWARE SOLUTIONS PRIVATE LIMITED,2015-03-24,Family & kids,3.0,41.86,Tuesday
Pool: 8 Ball Billiar,1.0,T-Bull,2015-01-09,Sports,3.0,15.79,Friday
Urban Crime Commando,1.0,Best App Entertainment,2016-04-19,Shooter,18.0,34.93,Tuesday
Princess Bath Spa Sa,1.0,Unit M Limited,2016-06-04,Family & kids,3.0,18.7,Saturday
Cargo Crane Simulato,1.0,Game Canvas,2015-11-12,Simulation,3.0,18.34,Thursday
FRONTLINE COMMANDO,1.0,SparkTrigger Studios,2018-01-30,Action & adventure,16.0,45.68,Tuesday
World Boxing 2019,1.0,Free Fun Games - zombie racing shooter,2019-08-14,Action & adventure,3.0,38.41,Wednesday
Real Pool 3D:Road to,1.0,成都羽珀科技有限责任公司,2021-07-15,Classics,3.0,87.14,Thursday
Wenjia(DEMO),1.0,"E-Home Entertainment Development Co., Ltd",2019-01-18,Platformer,3.0,1000.85,Friday
Modern Taxi Simulato,1.0,Mind Arts Games,2019-03-03,Simulation,3.0,259.51,Sunday
Ice Cream Paradise -,1.0,RV AppStudios,2017-04-11,Action & adventure,3.0,442.06,Tuesday
Racing Car Driving a,1.0,Mega Gamers Production,2017-03-01,Racing & flying,7.0,218.84,Wednesday
Chess Riddles Deluxe,1.0,Nektarios Giannoulis,2013-12-16,Puzzle & trivia,3.0,43.12,Monday
International Chess ,1.0,Bluesky Studio,2013-01-23,Strategy,3.0,7.15,Wednesday
Garden Pets: Match-3,1.0,PlayFlock,2019-05-13,Puzzle & trivia,3.0,251.5,Monday
Slots Rush - Vegas C,1.0,Manatees,2019-04-10,Casino,18.0,157.12,Wednesday
Sponge Moves In,1.0,Royale Free Action Games Ltd.,2019-09-04,Action & adventure,3.0,28.15,Wednesday
FootBall Simulator 3,1.0,HungryPixels,2015-12-03,Sports,3.0,18.41,Thursday
Chicago Bus Simulato,1.0,A V Logix,2015-08-15,Simulation,3.0,43.6,Saturday
Nail Art Salon Simul,1.0,Unit M Limited,2016-01-27,Simulation,3.0,107.01,Wednesday
Excavator Crane Simu,1.0,AppStream Studios,2016-01-08,Simulation,3.0,41.62,Friday
Virtual Families 2: ,1.0,Last Day of Work,2016-02-24,Simulation,3.0,233.52,Wednesday
Cupcake Maker - Craz,1.0,Unit M Limited,2016-02-18,Simulation,3.0,66.15,Thursday
Car Drift Racing Fev,1.0,SoftianZ,2015-10-03,Racing & flying,3.0,29.59,Saturday
Drift Rally Racing,1.0,Funright Productions,2015-12-22,Racing & flying,3.0,48.03,Tuesday
Snow Town - Ice Vill,1.0,Sparkling Society Games B.V.,2018-08-26,Simulation,3.0,115.68,Sunday
Super leps Jabber ju,1.0,AmgDev Studio,2019-04-24,Action & adventure,3.0,41.67,Wednesday
The River Tests - IQ,1.0,AmgDev Studio,2019-04-24,Action & adventure,3.0,41.67,Wednesday
Super Rio Run Platfo,1.0,Gamejam Production & Great Games,2021-03-12,Action & adventure,3.0,19.22,Friday
Block Puzzle Classic,1.0,Piano Music Games,2019-03-20,Card & board,3.0,49.46,Wednesday
Rise Up 2019,1.0,New Free Good Games,2019-03-04,Action & adventure,3.0,20.5,Monday
Subway Surf Bus Rush,1.0,"Tiny Hot Real Games: Craft, Sport, RPG",2019-05-15,Action & adventure,3.0,21.75,Wednesday
Angry Piggies,1.0,Tycoon Game Labs Free,2019-11-11,Action & adventure,3.0,37.43,Monday
Talking Babsy Baby,1.0,Kaufcom,2014-09-03,Family & kids,3.0,77.71,Wednesday
Sudoku Free,1.0,Reflection IT,2017-10-15,Puzzle & trivia,3.0,42.23,Sunday
"Warhammer 40,000: Fr",1.0,Pixel Toys,2017-03-14,Action & adventure,7.0,1350.0,Tuesday
Golfmasters - Fun Go,1.0,Happy King Games,2020-08-18,Action & adventure,3.0,69.82,Tuesday
Word Cookies!®,1.0,BitMango,2020-07-17,Card & board,3.0,185.86,Friday
Ear Doctor : Super C,1.0,Piano Music Studio,2018-02-14,Family & kids,3.0,63.44,Wednesday
Supermarket Mania - ,1.0,G5 Entertainment AB,2018-08-09,Card & board,3.0,86.48,Thursday
RC-AirSim Lite,1.0,Fabricated Reality,2015-03-07,Simulation,3.0,17.73,Saturday
City Construction He,1.0,AppStream Studios,2015-08-11,Simulation,3.0,41.04,Tuesday
Can You Escape 2,1.0,Trapped,2015-10-16,Puzzle & trivia,3.0,56.08,Friday
Bat Attack Cricket,1.0,Nextwave Multimedia Pvt Ltd,2018-01-29,Sports,3.0,29.67,Monday
Magazine Cover Girl,1.0,game4fun,2016-01-07,Family & kids,3.0,41.84,Thursday
Go Sonic Run Faster ,1.0,SmartBrainLAb,2020-11-17,Action & adventure,3.0,129.95,Tuesday
Tambola: The Indian ,1.0,Ironjaw Studios Private Limited,2017-03-13,Casino,3.0,84.95,Monday
Color Road.,1.0,Best Friends Multiplayer Games,2019-05-15,Action & adventure,3.0,48.39,Wednesday
Paint 4 Kids,1.0,Ela & Pietro,2010-10-13,Family & kids,3.0,27.17,Wednesday
Prendi Peppa,1.0,Colombo Emanuele,2014-01-30,Family & kids,3.0,5.11,Thursday
Grand Forklift Simul,1.0,Next Generation Games,2017-12-14,Simulation,3.0,172.89,Thursday
Spy Agent Action Sho,1.0,Aurelian Solutions,2021-06-07,Action & adventure,16.0,411.92,Monday
Emilys Hopes and Fea,1.0,appmedia studio,2019-07-15,Action & adventure,3.0,18.2,Monday
Tuk Tuk Simulator,1.0,HungryPixels,2015-12-03,Simulation,3.0,134.86,Thursday
Stunt Bike Race : Re,1.0,Zeros Games Studio,2016-03-16,Racing & flying,3.0,16.07,Wednesday
Army Truck Simulator,1.0,Uk Arts Games,2016-12-29,Action & adventure,7.0,154.37,Thursday
Stickman Battlefield,1.0,FPS Shooter Craft Games,2019-05-07,Action & adventure,3.0,33.11,Tuesday
Cube Steel: Maximum ,1.0,"Aeria Canada Studio, Inc.",2018-04-02,Action & adventure,3.0,238.16,Monday
Astronaut Simulator ,1.0,"Simulators Gear, LLC",2021-06-04,Action & adventure,3.0,212.52,Friday
Day at School My Tea,1.0,AppDevlo,2021-09-10,Simulation,3.0,278.37,Friday
Virtual Villagers Or,1.0,Last Day of Work,2018-11-01,Simulation,3.0,209.56,Thursday
Cartoon Coloring Boo,1.0,Dolphin Technologies,2019-07-04,Educational,3.0,123.72,Thursday
Dragon Awaken: Genes,1.0,MIRACLE GAMES INC.,2021-06-28,Strategy,12.0,196.8,Monday
Checkers!,1.0,Play Fun Games Free,2019-05-08,Card & board,3.0,25.62,Wednesday
BFF High School Fash,1.0,Games2win India Pvt. Ltd.,2014-10-21,Role playing,3.0,46.29,Tuesday
Tic Tac Toe,1.0,Escogitare,2017-10-23,Family & kids,3.0,49.3,Monday
The Othello,1.0,UNBALANCE corp.,2013-10-31,Card & board,3.0,50.48,Thursday
Endless Skater,1.0,Microsoft Studios,2018-01-29,Sports,3.0,268.34,Monday
SoulCraft,1.0,MobileBits GmbH,2012-08-20,Role playing,12.0,75.0,Monday
Fancy Blast,1.0,Fenomen Games,2018-02-23,Puzzle & trivia,3.0,687.36,Friday
Coloring book for ki,1.0,Kids Play Learning Games,2017-06-07,Family & kids,3.0,32.83,Wednesday
Ball Adventures,1.0,Refuel Games Pty Ltd,2020-11-15,Action & adventure,3.0,44.78,Sunday
Wood Block Puzzle 20,1.0,Puzzle Games King,2019-06-27,Card & board,3.0,41.34,Thursday
花千骨：洪荒降世，百花凋零,1.0,Ao Lan Technology Co Ltd,2020-06-05,Strategy,12.0,197.28,Friday
Tomb of the Mask +,1.0,GuneJang,2021-09-13,Action & adventure,3.0,135.64,Monday
Ultimate English Spe,1.0,DamTech Designs,2015-08-06,Puzzle & trivia,3.0,21.44,Thursday
Funny Run: Blocky Ad,1.0,24 CodeLimit,2016-03-31,Action & adventure,3.0,129.32,Thursday
Barbara Fasionable A,1.0,FC Games,2016-09-23,Family & kids,12.0,276.32,Friday
Cargo Train City Sta,1.0,AppStream Studios,2015-10-30,Strategy,3.0,48.8,Friday
Beach Quad Bike Raci,1.0,3Dee Space,2018-01-30,Racing & flying,7.0,51.23,Tuesday
Off Road Cargo Oil T,1.0,AppStream Studios,2015-10-28,Simulation,3.0,36.41,Wednesday
Crocodile Family Sim,1.0,Area 730,2018-08-29,Action & adventure,3.0,307.45,Wednesday
Battleship Free,1.0,Digital Attitude Games,2020-07-28,Card & board,3.0,316.06,Tuesday
Learn to Read & Save,1.0,CLEVERBIT,2018-10-05,Educational,3.0,101.96,Friday
Golf King Battle,1.0,Games Station Studio,2021-02-01,Action & adventure,3.0,19.27,Monday
Criminal Case: Save ,1.0,Pretty Simple,2021-08-24,Action & adventure,16.0,109.82,Tuesday
Lost Lands: The Gold,1.0,FIVE-BN STUDIO,2019-10-01,Action & adventure,7.0,1010.0,Tuesday
Stickman and Guns,1.0,Free Best Games Studio,2020-04-01,Action & adventure,7.0,38.48,Wednesday
FreeCell Classic Sol,1.0,Solitaire Card Games,2019-10-28,Card & board,3.0,82.34,Monday
Plants vs Goblins,1.0,Business Software,2018-03-14,Action & adventure,3.0,200.16,Wednesday
Halo Recruit,1.0,Microsoft Studios,2017-09-29,Shooter,7.0,2510.0,Friday
Hunting Shark 2021 -,1.0,"Action Portal, LLC",2021-01-12,Action & adventure,3.0,277.24,Tuesday
Crash of Magic,1.0,BATTLE GAME,2021-03-22,Strategy,7.0,281.46,Monday
Kids Preschool Learn,1.0,GREYSPRINGS SOFTWARE SOLUTIONS PRIVATE LIMITED,2017-10-31,Family & kids,3.0,84.74,Tuesday
Warship Wars: Naval ,1.0,MIRACLE GAMES INC.,2021-04-28,Strategy,7.0,965.38,Wednesday
Flip the Gun!,1.0,Tycoon Games LTD. Games For Boys & Girls,2019-06-03,Action & adventure,3.0,23.62,Monday
Icy Food Maker - Fro,1.0,Casual game,2018-10-22,Family & kids,3.0,115.02,Monday
Drawing Pad - Painti,1.0,Education Terra,2021-05-20,Action & adventure,3.0,216.96,Thursday
Village City Island,1.0,Sparkling Society Games B.V.,2017-08-31,Family & kids,3.0,99.74,Thursday
Kids Learning Word G,1.0,GREYSPRINGS SOFTWARE SOLUTIONS PRIVATE LIMITED,2015-02-02,Educational,3.0,64.77,Monday
Bloxorz - Block And ,1.0,Superpow,2015-07-21,Puzzle & trivia,3.0,187.22,Tuesday
Make Up and Dress Ga,1.0,JL Productions inc.,2015-05-05,Family & kids,3.0,1.02,Tuesday
Commando Mission: Wo,1.0,SparkTrigger Studios,2015-10-01,Shooter,16.0,50.05,Thursday
Burger Shop : Kids C,1.0,Xing Ming Studio,2019-06-04,Family & kids,3.0,60.56,Tuesday
New Coast Guard Beac,1.0,Next Generation Games,2018-08-09,Simulation,3.0,340.64,Thursday
Dino runner - Trex C,1.0,Kuerti,2018-11-22,Action & adventure,3.0,30.83,Thursday
Helix Jump Piano Til,1.0,Most Popular Free Games,2019-06-03,Action & adventure,3.0,63.38,Monday
Sort It - Puzzle,1.0,abiola.io,2020-03-17,Card & board,3.0,19.68,Tuesday
Gold Miner !,1.0,Fun Free Casual Games,2019-05-10,Action & adventure,3.0,20.52,Friday
Supreme Duelist Stic,1.0,GuneJang,2021-09-13,Fighting,3.0,85.95,Monday
Doctor Hero,1.0,Jeuxjeuxjeux Games,2020-06-22,Simulation,3.0,165.03,Monday
Rise of Kingdoms: Co,1.0,MIRACLE GAMES INC.,2021-06-29,Strategy,7.0,251.4,Tuesday
Police Bus Staff Dut,1.0,AppStream Studios,2015-05-22,Simulation,3.0,24.1,Friday
Fulgore Trainer,1.0,SeaToSkySolutions,2014-04-23,Action & adventure,16.0,46.49,Wednesday
Robotek,1.0,David Peroutka,2012-11-08,Action & adventure,7.0,10.55,Thursday
Hexa Block Puzzle Me,1.0,Kids Fun Puzzle Games,2019-04-22,Card & board,3.0,82.2,Monday
Pick Me Up - Taxi Dr,1.0,Free Puzzle Games Fan,2019-07-04,Action & adventure,3.0,123.9,Thursday
Glow Hockey Nations,1.0,Tycoon Games LTD. Games For Boys & Girls,2019-05-27,Action & adventure,3.0,21.06,Monday
City Driving 2019,1.0,Tycoon Games LTD. Games For Boys & Girls,2019-05-27,Action & adventure,3.0,21.06,Monday
Prime World: Defende,1.0,Nival Inc.,2015-04-01,Strategy,7.0,271.87,Wednesday
Play Football kicks,1.0,A V Logix,2015-07-23,Sports,3.0,20.08,Thursday
Death Race Stunt Mot,1.0,A V Logix,2015-08-19,Racing & flying,3.0,52.6,Wednesday
Accordion Pro HD,1.0,YASH FUTURE TECH SOLUTIONS PVT. LTD,2015-06-15,Music,3.0,14.76,Monday
Demolition,1.0,Khor Chin Heong,2015-05-11,Simulation,3.0,2490.0,Monday
Wedding Design,1.0,Dress Up,2016-12-26,Classics,3.0,88.71,Monday
City Cargo Trailer T,1.0,Zeros Games Studio,2016-03-23,Simulation,3.0,79.45,Wednesday
Monster High Dress U,1.0,Dress Up,2018-02-08,Classics,3.0,67.79,Thursday
Dawn of Steel,1.0,flaregames GmbH,2016-02-17,Strategy,7.0,123.07,Wednesday
Temple Relic Oz,1.0,Idea Labs Games and Entertainment,2021-04-22,Action & adventure,3.0,20.81,Thursday
Off Road Tuk Tuk Aut,1.0,Next Generation Games,2018-09-27,Simulation,3.0,355.86,Thursday
Demon at Work — devi,1.0,"LLC “TAP BY TAP""",2020-09-02,Action & adventure,7.0,822.27,Wednesday
Cricket Batter Chall,1.0,Top Games Studios,2019-08-27,Classics,3.0,46.07,Tuesday
Kodu_Game_Lab,1.0,InfiniteInstant,2020-12-04,Educational,3.0,273.78,Friday
Battle Arena: Heroes,1.0,RED BRIX WALL LIMITED,2019-10-10,Action & adventure,7.0,128.23,Thursday
Ben 10 Soccer Penalt,1.0,CBGAME,2021-09-15,Sports,3.0,26.49,Wednesday
Frenzy Farming 2019,1.0,Floating Ninja Games,2019-09-09,Family & kids,3.0,79.38,Monday
Sky Destroyer - Bomb,1499.0,"Action Portal, LLC",2021-05-26,Other,7.0,291.21,Wednesday
Hero Wars Escape,1.0,594 Home,2020-10-19,Strategy,3.0,39.82,Monday
Car Racer 3D,1.0,AppTeeka,2015-05-22,Racing & flying,3.0,15.18,Friday
Skateboard Party 2 L,1.0,Maple Media LLC.,2014-06-19,Sports,3.0,915.95,Thursday
Flight Theory,1.0,Driftwood Software,2013-10-18,Simulation,7.0,84.79,Friday
Happy Chef,1.0,Nordcurrent,2014-03-03,Action & adventure,3.0,62.99,Monday
Mystery Society 2: H,1.0,Rolltower Studios,2017-10-12,Action & adventure,3.0,309.62,Thursday
Moving Ball Puzzle,1.0,Queen Games,2017-01-16,Puzzle & trivia,3.0,49.38,Monday
Addicting Online Gam,1.0,JL Productions inc.,2021-03-29,Action & adventure,3.0,648.0,Monday
Gummy Paradise - Fre,1.0,RV AppStudios,2019-09-09,Action & adventure,3.0,453.02,Monday
Minesweeper Free 201,1.0,Bts Music Game,2019-06-04,Classics,3.0,39.93,Tuesday
Piano White Little,1.0,eday io,2017-10-25,Classics,3.0,67.65,Wednesday
Racing Car Drift,1.0,virtualinfocom,2015-03-16,Racing & flying,12.0,34.45,Monday
Police Car Chase Sma,1.0,AppStream Studios,2015-07-29,Simulation,3.0,37.58,Wednesday
Masha and The Bear M,1.0,Simone R,2015-05-04,Family & kids,3.0,9.96,Monday
glitter nail game,1.0,AppsForMobile,2016-05-13,Family & kids,12.0,4.26,Friday
Unexpected Kiss,1.0,game4fun,2016-06-14,Family & kids,3.0,33.69,Tuesday
Hot.Pursuit,1.0,SkyLine Gamez,2016-02-15,Classics,3.0,26.14,Monday
Army Sniper Mission ,1.0,SoftianZ,2015-10-07,Action & adventure,7.0,42.22,Wednesday
City Island 4 - Town,1.0,Sparkling Society Games B.V.,2019-03-24,Classics,3.0,219.57,Sunday
Paper Fold,1.0,GuneJang,2021-09-18,Educational,3.0,219.94,Saturday
Hero Rescue,1.0,Happy King Games,2020-08-17,Action & adventure,3.0,44.77,Monday
Sandwich! Maker,1.0,Perfect Artist Studios (PAS TEAM),2019-10-15,Puzzle & trivia,3.0,27.9,Tuesday
Basketball Battles,1.0,Fun Games For Free Entertainment,2019-09-06,Sports,3.0,32.18,Friday
Bus Simulator 3D - C,1.0,"Simulators Gear, LLC",2021-09-06,Racing & flying,3.0,215.45,Monday
Mystery of the Opera,1.0,G5 Entertainment AB,2018-04-03,Action & adventure,3.0,117.95,Tuesday
Unroll Me - unblock ,1.0,Turbo Chilli,2014-05-26,Puzzle & trivia,3.0,25.14,Monday
Baby Hazel Harvest F,1.0,KX Games,2020-08-03,Action & adventure,3.0,5.17,Monday
Craft Exploration - ,1.0,Pocket Craft King Games LLC,2019-05-27,Action & adventure,3.0,28.99,Monday
Paw Pat Fidget Patro,1.0,JudyStudioGames,2020-12-23,Action & adventure,3.0,37.22,Wednesday
European War 6,1.0,EasyTech,2018-06-13,Strategy,7.0,327.3,Wednesday
City Construction Ro,1.0,AppStream Studios,2015-06-24,Strategy,3.0,33.37,Wednesday
Pregnant Baby Birth ,1.0,Unit M Limited,2016-07-12,Simulation,3.0,96.99,Tuesday
Railroad Crossing 2,1.0,Highbrow Interactive,2018-01-29,Simulation,3.0,31.9,Monday
Light house,1.0,Lebedev_DEV,2016-03-17,Puzzle & trivia,3.0,49.27,Thursday
Off Road Hill Statio,1.0,AppStream Studios,2015-12-19,Simulation,3.0,28.79,Saturday
Bob The Robber 1,1.0,CBGAME,2021-09-22,Action & adventure,3.0,26.48,Wednesday
Solitaire Tour: Clas,1.0,G5 Entertainment AB,2019-02-18,Card & board,3.0,116.5,Monday
Route: Escape The Un,1.0,Wan Jie Technology Co Ltd,2019-08-07,Action & adventure,16.0,186.7,Wednesday
Head Soccer La Liga,1.0,Net Ease Games Ltd.,2021-03-02,Action & adventure,3.0,23.02,Tuesday
Fantasy Island Sim: ,1.0,Sparkling Society Games B.V.,2019-12-15,Action & adventure,3.0,521.95,Sunday
Finding Yeti — Find ,1.0,EcoComputers,2021-05-12,Action & adventure,12.0,520.57,Wednesday
Lost Lands: Dark Ove,1.0,FIVE-BN STUDIO,2018-10-10,Action & adventure,7.0,743.96,Wednesday
Simple Spider Solita,1.0,Random Salad Games LLC,2015-01-09,Card & board,3.0,211.72,Friday
Off Road Drift Serie,1.0,Game Cabbage,2014-08-25,Racing & flying,3.0,93.77,Monday
Logo Quiz Ultimate,1.0,Color.Ring Studio,2013-12-20,Family & kids,3.0,51.59,Friday
Reaper,1.0,David Peroutka,2013-09-16,Role playing,12.0,33.35,Monday
The Legacy: The Tree,1.0,FIVE-BN STUDIO,2019-08-20,Action & adventure,12.0,1000.32,Tuesday
Traffic Chaos - Stre,1624.0,"Gamenesis, LLC",2021-07-08,Racing & flying,7.0,168.11,Thursday
Free Solitaire +,1.0,classic games collection,2019-08-18,Casino,3.0,107.93,Sunday
Arena of Robots - Co,1.0,JSC Playnesis,2021-07-08,Action & adventure,7.0,1060.0,Thursday
HEVC Video Extension,54.0,Microsoft Corporation,2018-02-21,Utilities & tools,3.0,11.9,Wednesday
MX Player HD,69.0,REN,2021-04-22,Photo & video,3.0,143.97,Thursday
PDF Converter For Of,2724.0,Media Apps Dev,2020-08-21,Utilities & tools  >  File managers,3.0,114.34,Friday
HD Movie Maker - PRO,824.0,V3TApps,2018-02-21,Photo & video,3.0,698.85,Wednesday
PDF Converter X: PDF,549.0,NG PDF Lab,2020-12-14,Business,3.0,261.27,Monday
Multi-Platform Video,269.0,GLLC Apps,2021-09-16,Productivity,3.0,422.5,Thursday
Sketchbook Pro,1099.0,Sketchbook,2021-06-30,Multimedia design  >  Illustration & graphic design,3.0,81.64,Wednesday
TaskbarX,74.0,Chris Andriessen,2019-06-13,Personalization,3.0,6.14,Thursday
Tux paint - Graphics,249.0,Shek APP,2021-08-03,Utilities & tools,3.0,12.98,Tuesday
